"ID","Article_ID","Class","Source","Grain","ContinuousGrain","ContinuousGrain2","Quality","PrAb","NtaxaClass","NClass","LogNtempUnits","NtempUnits","Gradient","Sampling","Extent","LogExtent","Pred_SL","Type","Pred_ideal1","Pred_ideal2","Pred_ideal3","Study_ID","SLDiff1","SLDiff2","SLDiff3","SLRatio1","SLRatio2","SLRatio3"
"A10_P1_LAT_Aves","A10","Aves","A10_P1","large",3,100,"RAW","abundance",762,1,2.30258509299405,10,"LAT","MULT",2740.96,7.91606350298215,4.11622730916901,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",2.23304524633078,2.34060804124301,2.81400855849053,2.18578298423534,2.31819252219365,3.16093383467592
"A103_P1_LAT_Aves","A103","Aves","A103_P1","small",1,1,"BALANCED","abundance",10,1,0.693147180559945,2,"LAT","TWO",3166,8.06022424044096,3.58168943504325,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",1.69850737220502,1.80607016711725,2.27947068436477,1.90193476548153,2.01714945300566,2.75045143773051
"A104_P1_LAT_Reptilia","A104","Reptilia","A104_P1","large",3,100,"BALANCED","occurrence",30,1,0.693147180559945,2,"LAT","TWO",869.22,6.76759625778161,1.5413071451902,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",-0.341874917648032,-0.2343121227358,0.239088394511721,0.818458913562092,0.868039209210944,1.18360079240692
"A107_P1_LAT_Aves","A107","Aves","A107_P1","large",3,100,"BALANCED","occurrence",82,1,0.693147180559945,2,"LAT","TWO",716.86,6.57488056351477,1.40254033327136,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",-0.48064172956687,-0.373078934654638,0.100321582592884,0.744771501889481,0.78988798928139,1.077038963339
"A108_P1_LAT_Aves","A108","Aves","A108_P1","moderate",2,10,"RESURVEYED","occurrence",122,1,0.693147180559945,2,"LAT","TWO",716.86,6.57488056351477,1.05462622686472,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",-0.82855583597351,-0.720993041061277,-0.247592523813756,0.560023508972491,0.593948402067393,0.809868715463699
"A11_P1_LAT_Insecta","A11","Insecta","A11_P1","large",3,100,"BALANCED","occurrence",37,1,0.693147180559945,2,"LAT","TWO",1088.73,6.99276715830798,1.72093084219712,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",-0.162251220641106,-0.0546884257288733,0.418712091518648,0.913841989129522,0.969200364787237,1.32153744622437
"A11_P2_LAT_Insecta","A11","Insecta","A11_P2","large",3,100,"BALANCED","occurrence",37,1,0.693147180559945,2,"LAT","TWO",1088.73,6.99276715830798,1.72093084219712,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P2",-0.162251220641106,-0.0546884257288733,0.418712091518648,0.913841989129522,0.969200364787237,1.32153744622437
"A110_P1_LAT_Aves","A110","Aves","A110_P1","moderate",2,10,"RAW","occurrence",266,1,0.693147180559945,2,"LAT","TWO",1566.97,7.35689909730996,2.53379894988353,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",0.650616887045298,0.75817968195753,1.23158019920505,1.34548804381915,1.42699451152223,1.94575523395234
"A110_P2_LAT_Aves","A110","Aves","A110_P2","moderate",2,10,"RAW","occurrence",131,1,0.693147180559945,2,"LAT","TWO",1566.97,7.35689909730996,2.53379894988353,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P2",0.650616887045298,0.75817968195753,1.23158019920505,1.34548804381915,1.42699451152223,1.94575523395234
"A112_P1_LAT_Chondrichthyes","A112","Chondrichthyes","A112_P1","small",1,1,"RESURVEYED","occurrence",5,11,0.693147180559945,2,"LAT","TWO",351.61,5.86252260681727,0.675699970386098,"LAT",1.88318206283823,1.775619267926,1.30221875067848,"P1",-1.20748209245213,-1.0999192975399,-0.626518780292379,0.358807564982708,0.380543274446073,0.518883613090387
